電視廣告,廣播廣告,社群媒體廣告,網紅廣告,銷售額
100.0,31.6462889,6.52108481,一萬到十萬,356.517701
55.0,14.15724514,3.449239584,一萬到十萬,201.996102
52.0,20.71245229,1.629664479,一萬到十萬,183.01641
32.0,14.48736052,0.931805763,大於百萬,111.188122
35.0,6.46455016,1.375936383,十萬到百萬,125.982086
25.0,0.96515998,2.585389556,小於一萬,85.234262
96.0,32.98619486,5.525464692,十萬到百萬,342.039452
25.0,11.50047978,0.639035727,十萬到百萬,95.214099
15.0,0.23343849,0.44392485,一萬到十萬,48.341346
22.0,11.86861071,0.222563672,大於百萬,78.822717
90.0,32.32893729,6.664554157,大於百萬,325.067467
85.0,32.78584244,3.253216367,大於百萬,303.060675
17.0,9.73949146,3.319238042,小於一萬,60.700063
58.0,21.39993028,2.172741919,十萬到百萬,206.413039
61.0,26.01795786,4.539550507,一萬到十萬,216.549926
22.0,4.38910723,0.885959352,一萬到十萬,77.838823
55.0,25.73139014,3.820392929,一萬到十萬,193.000386
40.0,7.64608271,2.037287337,一萬到十萬,141.594063
67.0,28.48182095,1.520803886,十萬到百萬,240.402758
60.0,15.56981304,0.539963086,大於百萬,219.148518
32.0,25.48626583,4.172270036,十萬到百萬,115.339621
74.0,23.42012989,2.281383027,小於一萬,262.598645
16.0,3.81521321,0.3327901,大於百萬,53.21921
92.0,25.64876108,4.156526229,一萬到十萬,328.451946
61.0,21.00894901,5.042353102,小於一萬,220.035902
46.0,8.33711058,0.799469099,十萬到百萬,162.371475
89.0,34.72354863,6.137642552,大於百萬,315.234447
39.0,8.02742416,3.780097613,十萬到百萬,141.087084
89.0,27.81948029,5.228492402,十萬到百萬,318.270848
28.0,13.44187653,5.166034391,小於一萬,101.213187
21.0,11.1103027,1.609824309,小於一萬,84.624063
32.0,0.62761877,2.676075167,一萬到十萬,115.262567
93.0,24.64119515,4.856110743,十萬到百萬,326.035882
88.0,32.8470874,6.447430549,大於百萬,310.743505
60.0,21.84186431,5.092528304,大於百萬,210.680016
60.0,29.73254005,2.01239532,十萬到百萬,212.602055
61.0,27.20162635,6.320749317,小於一萬,216.90792
50.0,29.05558455,6.136696879,大於百萬,177.32389
62.0,24.37251496,4.798782837,小於一萬,223.269712
75.0,28.80884454,6.73194589,十萬到百萬,268.791677
81.0,24.00515281,5.328289074,一萬到十萬,288.923502
61.0,28.38518716,6.157704568,一萬到十萬,222.45076
17.0,14.6946038,0.474445692,十萬到百萬,60.569697
92.0,27.35483097,6.16496891,十萬到百萬,325.138866
53.0,23.58638711,3.258949178,十萬到百萬,186.838588
62.0,11.56312736,1.926692956,十萬到百萬,220.609242
75.0,25.70465202,5.893578362,小於一萬,263.53014
76.0,34.27923262,7.940107984,大於百萬,266.942186
35.0,7.79802384,1.957661502,大於百萬,120.638993
76.0,19.86221522,2.198497564,小於一萬,269.441698
79.0,17.40233918,4.550484424,大於百萬,282.692898
42.0,7.27772863,0.277136782,大於百萬,146.937292
78.0,24.99209995,4.209574548,大於百萬,277.241337
69.0,26.94994463,2.112651668,小於一萬,245.332888
87.0,30.99099652,5.461506605,一萬到十萬,307.344052
47.0,9.96182171,4.068030765,大於百萬,164.214738
30.0,15.5239034,2.819391995,大於百萬,104.039752
94.0,17.17127384,1.021301086,小於一萬,333.83724
16.0,3.30401048,1.434938247,大於百萬,59.223859
35.0,16.74802358,1.727566449,一萬到十萬,130.552388
13.0,2.32013459,0.98234869,一萬到十萬,49.430552
10.0,2.29824811,2.435478085,十萬到百萬,33.591448
15.0,3.6361146,0.732190448,一萬到十萬,51.80371
99.0,33.3817234,8.147554697,一萬到十萬,349.635262
52.0,19.75245225,3.573207176,十萬到百萬,183.067603
31.0,17.07433788,4.8192763,十萬到百萬,109.594302
28.0,3.30678,2.690659024,大於百萬,99.484252
20.0,6.46031584,1.391487958,一萬到十萬,72.997215
54.0,12.98134935,2.751051575,大於百萬,194.095502
47.0,18.22307143,1.474865689,大於百萬,169.762246
16.0,2.73378721,0.051444257,大於百萬,56.5927
10.0,7.08562809,0.620930871,小於一萬,36.56273
64.0,22.69323068,0.34962043,一萬到十萬,226.017906
42.0,9.35296372,0.606126647,十萬到百萬,146.357785
69.0,12.36276951,1.544761417,一萬到十萬,245.51018
22.0,14.04193665,4.643545687,大於百萬,76.215341
53.0,19.3744916,0.211224076,大於百萬,191.864132
16.0,2.45253709,0.865971168,大於百萬,61.060918
61.0,22.23934576,8.19479117,大於百萬,214.396443
39.0,14.01695152,3.105424638,小於一萬,142.345384
78.0,22.76786206,1.967175424,大於百萬,274.901802
47.0,17.60586851,2.785139037,大於百萬,163.35267
89.0,31.10587709,4.739285667,大於百萬,314.651634
35.0,19.15649829,3.724764606,大於百萬,130.47875
64.0,20.9722448,2.587763209,大於百萬,230.661699
63.0,15.03362328,1.154492729,小於一萬,220.764973
41.0,14.81924744,6.158927918,小於一萬,145.231725
25.0,5.06301762,4.328050272,大於百萬,85.904346
45.0,18.63377368,1.63969465,小於一萬,168.675296
90.0,30.45575787,4.061587268,大於百萬,319.146252
87.0,36.78144812,5.944544971,一萬到十萬,310.006466
18.0,8.80870277,2.414186295,小於一萬,59.289316
11.0,7.68827301,3.023129063,小於一萬,33.692688
96.0,25.18516071,5.737247752,一萬到十萬,344.544224
58.0,27.23205765,4.969437558,一萬到十萬,211.728382
33.0,7.8417991,2.114598916,小於一萬,113.396524
69.0,16.14051524,3.698544745,一萬到十萬,246.4092
77.0,28.06805667,4.932782548,一萬到十萬,274.119989
45.0,10.84335506,1.303214039,一萬到十萬,156.867957
72.0,14.31731074,1.755859447,十萬到百萬,256.170561
59.0,25.75238399,3.388303521,十萬到百萬,209.804479
54.0,14.05805349,1.497131726,大於百萬,195.76942
75.0,30.8609378,5.033560605,一萬到十萬,261.014895
90.0,29.94190176,8.348998109,十萬到百萬,320.715344
69.0,19.03006896,2.701390218,一萬到十萬,246.240306
30.0,17.46901907,4.337634178,小於一萬,105.185312
65.0,26.21705634,5.481302028,大於百萬,228.018145
85.0,17.92814765,2.125619697,十萬到百萬,305.383281
40.0,11.38543827,0.766831031,十萬到百萬,140.441629
64.0,20.50457042,4.530971142,一萬到十萬,233.630379
36.0,8.11996156,1.225191317,大於百萬,130.989346
40.0,13.84088825,4.726136465,小於一萬,141.667701
89.0,13.60007097,0.016116571,小於一萬,321.07868
49.0,13.76198317,2.502653025,小於一萬,173.155091
59.0,19.83461673,7.641127922,小於一萬,210.230046
96.0,33.73717368,8.701501372,一萬到十萬,343.046048
12.0,14.72147021,0.316274429,大於百萬,47.477934
69.0,25.03470033,9.204856494,大於百萬,239.568087
83.0,27.98792232,6.066843266,大於百萬,292.563169
99.0,32.49040456,8.220533067,一萬到十萬,347.693601
33.0,14.23628106,1.756967978,大於百萬,118.742719
65.0,22.01819072,3.352790007,一萬到十萬,233.525004
52.0,13.43002119,2.656327532,小於一萬,184.464794
57.0,24.07376287,3.314484216,十萬到百萬,208.183393
13.0,4.45093744,3.332875723,大於百萬,46.048619
97.0,32.49473058,6.186571761,大於百萬,347.877616
47.0,11.6137875,1.815052726,小於一萬,164.680304
39.0,21.75233897,6.362993293,小於一萬,139.528946
13.0,6.23781242,0.777461147,小於一萬,44.497936
86.0,27.14817277,4.409399375,小於一萬,308.393049
80.0,26.98790612,3.081278114,大於百萬,284.726278
32.0,13.45746031,0.91765612,十萬到百萬,116.783844
95.0,38.41522497,7.673636553,一萬到十萬,336.760633
24.0,11.88643795,1.558209074,一萬到十萬,82.549072
21.0,9.28268517,3.055758381,十萬到百萬,76.992928
60.0,19.62187156,2.391937312,小於一萬,213.59437
52.0,24.21323418,3.817027564,十萬到百萬,184.096189
73.0,30.6636907,4.071548218,小於一萬,261.954547
63.0,24.33760554,3.647264547,十萬到百萬,223.23739
54.0,14.3343517,4.555541139,十萬到百萬,190.83278
66.0,17.00947877,6.048201516,大於百萬,240.4989
88.0,35.50607789,5.870154103,大於百萬,311.511449
76.0,27.59610149,3.303434183,一萬到十萬,275.427755
88.0,25.02655962,4.133996812,小於一萬,314.945473
80.0,18.78109394,4.054434455,一萬到十萬,283.539928
28.0,14.07938991,5.9702183,小於一萬,97.319934
20.0,8.99511512,0.684036129,大於百萬,65.540223
88.0,34.17538554,6.988181689,大於百萬,317.82702
92.0,29.33152301,8.145979085,小於一萬,330.155212
48.0,16.11600234,1.698185318,十萬到百萬,168.005035
46.0,17.92129715,2.374454098,小於一萬,167.475666
92.0,33.39604904,4.480487867,小於一萬,321.750467
58.0,14.69851591,1.463555453,一萬到十萬,202.886882
18.0,10.86748903,0.690997745,大於百萬,67.395988
40.0,18.378401,1.320080106,十萬到百萬,141.380124
73.0,38.76584877,3.606399358,十萬到百萬,258.913709
33.0,7.04783245,1.939791634,大於百萬,114.677453
12.0,6.23307359,3.695362555,大於百萬,45.074834
45.0,6.9515266,1.566329051,大於百萬,160.547111
15.0,3.57843562,0.504868131,十萬到百萬,54.323015
84.0,27.29955891,5.084324988,一萬到十萬,305.181971
68.0,19.77617983,3.217632434,一萬到十萬,240.803009
51.0,17.87552981,5.311291172,十萬到百萬,181.15904
31.0,6.3048453,0.802279711,一萬到十萬,110.439374
34.0,19.68456771,5.02955855,大於百萬,118.885553
45.0,25.54478363,4.020040406,十萬到百萬,153.947327
31.0,10.82249016,0.857715137,大於百萬,107.316516
24.0,6.81699289,3.927796211,大於百萬,90.57297
99.0,30.14056912,6.546158024,十萬到百萬,351.35989
67.0,22.92648803,5.522947611,小於一萬,237.989086
72.0,22.29004916,2.95721943,大於百萬,254.380687
97.0,22.64746328,3.287167403,大於百萬,345.847002
74.0,21.99112418,0.877580707,一萬到十萬,265.838648
31.0,9.92630936,2.270709178,大於百萬,112.493113
88.0,20.3636207,5.245145153,大於百萬,313.598014
42.0,22.00041826,2.830148305,一萬到十萬,149.191696
47.0,22.14974584,5.275784898,一萬到十萬,169.598017
44.0,16.25344066,2.968598136,十萬到百萬,153.872597
75.0,24.56962198,3.306948842,一萬到十萬,261.289447
35.0,9.41334921,0.104001063,大於百萬,123.275826
49.0,15.61022141,3.431273747,十萬到百萬,175.962855
48.0,13.68967669,3.947498786,十萬到百萬,173.098438
35.0,7.8684798,0.06731754,十萬到百萬,121.813867
31.0,9.95756198,0.387034004,一萬到十萬,116.354995
93.0,31.27186809,8.352357783,一萬到十萬,327.379636
47.0,15.72822743,2.771904176,大於百萬,166.972025
99.0,35.34863664,3.077833251,一萬到十萬,350.327481
84.0,25.04782863,3.111012701,一萬到十萬,295.496377
27.0,14.12523976,0.417048422,十萬到百萬,95.880472
80.0,33.19290751,6.567471154,一萬到十萬,287.314256
28.0,9.96976974,5.801150248,大於百萬,101.386122
33.0,22.70338207,2.302985634,十萬到百萬,118.874049
78.0,30.11726533,3.357794085,大於百萬,278.955153
94.0,34.4405617,5.361413902,一萬到十萬,329.014929
72.0,11.26204128,5.915241648,十萬到百萬,253.574793
63.0,20.91947204,0.450401007,十萬到百萬,219.601735
10.0,7.95131309,5.221649163,十萬到百萬,39.159975
13.0,1.82546886,1.445952711,大於百萬,49.090886
27.0,12.24599734,2.026165043,十萬到百萬,99.963027
87.0,28.65521764,4.32703635,十萬到百萬,306.949979
29.0,12.99586641,0.270843681,小於一萬,107.454573
45.0,11.86478335,1.576683416,小於一萬,159.509534
99.0,31.39714703,4.282725886,大於百萬,357.111472
88.0,27.46149343,1.524062069,大於百萬,312.142963
23.0,3.42442195,1.254887329,小於一萬,82.711025
83.0,37.71626504,4.007700088,大於百萬,293.838168
49.0,10.23560703,2.507190611,小於一萬,171.417616
27.0,13.2703404,0.858878019,一萬到十萬,92.400454
17.0,5.91558955,3.679589765,小於一萬,57.354292
12.0,1.57891663,4.637683176,小於一萬,41.700682
56.0,16.13587655,6.5492771,小於一萬,204.224967
38.0,2.58929848,4.232246203,大於百萬,138.102768
53.0,15.78634705,1.018862371,大於百萬,193.023921
13.0,4.07467167,2.969846102,小於一萬,48.539122
77.0,17.33138261,0.414472802,一萬到十萬,272.781222
14.0,5.59958238,2.536887018,大於百萬,45.556908
42.0,14.75288398,5.193192475,十萬到百萬,153.402271
60.0,24.1929876,8.82769045,一萬到十萬,209.902837
39.0,8.19223305,1.786003784,小於一萬,139.776167
11.0,0.46092439,0.258229475,一萬到十萬,38.216402
50.0,18.73230444,2.183080952,十萬到百萬,178.635558
65.0,16.00937858,1.309538333,一萬到十萬,226.145126
86.0,32.60830419,4.793069167,十萬到百萬,306.082844
41.0,12.50160407,1.247269966,大於百萬,148.491792
72.0,24.97171642,3.384708684,十萬到百萬,260.295849
50.0,16.07391542,2.133291153,一萬到十萬,176.445489
71.0,14.15400564,2.185417096,一萬到十萬,248.914146
85.0,36.24543619,8.863215031,大於百萬,305.739472
87.0,21.65560783,4.342996442,大於百萬,306.901094
80.0,26.81982599,0.700882001,十萬到百萬,284.230809
23.0,12.66874316,2.059276863,大於百萬,82.446436
99.0,27.32209399,2.769970013,大於百萬,351.38966
62.0,29.01072891,3.913406431,大於百萬,219.235241
18.0,4.85554949,2.078003457,十萬到百萬,64.193378
55.0,15.24125873,3.849375364,十萬到百萬,193.101443
48.0,7.39537941,2.925949505,小於一萬,172.524878
95.0,30.06499774,4.96087232,十萬到百萬,341.437639
98.0,25.80264351,4.420553579,大於百萬,350.201985
52.0,21.00550622,2.405095013,一萬到十萬,184.091596
10.0,1.29419392,0.12850286,大於百萬,41.210016
37.0,7.75385324,0.646902083,小於一萬,128.57754
91.0,31.17432973,5.100238465,一萬到十萬,326.074472
16.0,17.75660719,4.547851426,一萬到十萬,55.403693
82.0,26.01084466,4.803605016,一萬到十萬,290.458708
19.0,2.47759076,5.557077517,小於一萬,68.631762
18.0,8.76927198,4.472197966,十萬到百萬,63.571696
70.0,22.85824494,6.146319119,大於百萬,248.050624
20.0,1.31980918,0.644217455,小於一萬,72.615508
14.0,9.10213397,0.114328704,一萬到十萬,50.324661
90.0,27.8735925,5.378532398,一萬到十萬,317.446624
33.0,10.15050712,2.311200267,小於一萬,118.226788
44.0,22.68889721,1.209024214,十萬到百萬,161.106972
36.0,11.66355563,0.421868807,一萬到十萬,130.161047
59.0,28.35102374,6.541167803,大於百萬,210.399871
38.0,6.11076956,1.937174888,大於百萬,133.476012
13.0,1.47031152,1.231379728,一萬到十萬,49.285033
29.0,5.14726956,0.515674511,大於百萬,106.949939
61.0,16.13495534,3.038417797,大於百萬,216.015762
45.0,17.48619727,2.355668427,一萬到十萬,160.085902
71.0,19.97976845,6.960355849,十萬到百萬,252.076426
25.0,7.10009153,1.5936932,大於百萬,89.810156
70.0,19.74894387,5.599312885,小於一萬,247.890795
42.0,3.5548302,0.175409196,小於一萬,147.774827
67.0,33.62209115,6.804494005,十萬到百萬,240.351847
68.0,13.86615704,0.040676461,一萬到十萬,239.762729
45.0,12.98767686,2.977329727,十萬到百萬,158.53877
74.0,21.97087596,8.203744409,大於百萬,263.429932
28.0,4.27751947,0.617684626,小於一萬,99.014871
70.0,25.91833389,4.768469714,小於一萬,252.106758
40.0,17.42884965,3.306706147,大於百萬,143.835915
79.0,19.57607017,4.32634078,大於百萬,279.414441
65.0,24.95557114,3.886572721,一萬到十萬,231.365846
57.0,20.46156446,5.264913626,一萬到十萬,197.185839
32.0,12.97443837,5.112082652,小於一萬,117.097778
90.0,40.24815246,2.29177786,大於百萬,322.567332
25.0,8.46651868,0.64854834,十萬到百萬,89.250599
20.0,8.72293194,3.337461521,小於一萬,68.810723
91.0,28.6116327,5.507701839,大於百萬,319.37901
98.0,32.98528869,3.891731352,一萬到十萬,351.053577
43.0,17.66419141,2.728568336,一萬到十萬,158.00875
86.0,18.58905369,2.780680191,一萬到十萬,304.951113
40.0,13.81986703,1.308923021,十萬到百萬,142.174681
16.0,5.33194285,0.326301556,大於百萬,59.785065
31.0,9.2469815,2.709764692,十萬到百萬,109.074998
77.0,30.77545019,3.668133786,一萬到十萬,273.41608
60.0,22.4028944,5.276295758,小於一萬,212.498583
29.0,13.61181888,2.670106133,一萬到十萬,104.820065
50.0,21.86344116,5.987261805,小於一萬,176.923372
74.0,17.41828715,0.483527663,一萬到十萬,263.548753
38.0,2.09205468,0.06584059,小於一萬,136.953911
16.0,0.3644531,0.471870511,一萬到十萬,56.768942
36.0,10.56614422,2.638889554,十萬到百萬,128.416594
40.0,18.81042973,0.847597289,大於百萬,139.870744
94.0,27.08974013,1.867946948,小於一萬,336.647627
34.0,12.36083061,5.470915563,十萬到百萬,121.709956
78.0,34.09508164,6.181578337,一萬到十萬,274.550418
28.0,12.99050602,3.381622724,一萬到十萬,98.903525
66.0,23.16259764,2.051333546,十萬到百萬,238.371438
50.0,15.52955419,0.660165772,小於一萬,179.140772
36.0,10.60419906,3.560618087,一萬到十萬,135.356346
93.0,32.49798817,8.698498353,大於百萬,331.541506
23.0,4.52387946,3.658953779,小於一萬,83.35222
59.0,13.99472911,5.248399204,一萬到十萬,212.348924
24.0,5.36913339,0.821603124,大於百萬,89.406028
51.0,16.1902616,7.97216452,十萬到百萬,177.93347
96.0,25.73667837,4.179366017,小於一萬,346.940012
82.0,17.35969287,4.361815987,小於一萬,295.518075
78.0,22.76810931,2.964101681,一萬到十萬,277.399331
43.0,11.1208882,0.769497292,十萬到百萬,152.437165
37.0,5.26462334,2.531732224,小於一萬,130.959159
43.0,17.26923733,2.668721882,一萬到十萬,156.493122
70.0,21.5538865,2.029129901,一萬到十萬,247.150991
59.0,13.85180397,2.552071784,一萬到十萬,210.586524
17.0,11.16675392,2.370877592,大於百萬,63.487941
64.0,17.95098004,0.156159603,一萬到十萬,231.278801
50.0,17.68275393,1.605194317,小於一萬,175.499497
88.0,35.4551909,4.091396616,大於百萬,312.31077
16.0,8.51122114,2.605974425,十萬到百萬,56.433142
13.0,1.23759853,2.447639874,一萬到十萬,46.57402
83.0,28.11017133,7.3581693,十萬到百萬,297.626731
33.0,12.12654395,0.210453262,大於百萬,117.452732
58.0,14.39177935,1.226266329,一萬到十萬,207.695566
76.0,25.09598285,3.588906021,十萬到百萬,272.421335
70.0,15.29255881,2.437563019,一萬到十萬,251.757993
26.0,12.27610125,0.022498266,十萬到百萬,90.012277
96.0,30.07537117,6.063871145,大於百萬,339.213532
23.0,2.11980184,0.893297038,一萬到十萬,80.701335
86.0,30.95791818,4.851285555,大於百萬,309.744953
19.0,6.00525065,2.38362943,大於百萬,66.38182
52.0,14.79010177,3.012857573,大於百萬,179.152859
19.0,10.62585401,1.036051829,大於百萬,64.676006
52.0,15.21955294,0.74054497,小於一萬,190.805897
87.0,26.99627762,1.866030869,一萬到十萬,312.148699
77.0,31.6532001,7.776978403,小於一萬,273.960377
31.0,9.28869952,4.01258944,小於一萬,112.345307
82.0,23.43478708,5.914866129,一萬到十萬,288.020745
49.0,15.96031563,5.254906229,一萬到十萬,174.179095
15.0,4.85219035,5.603537932,大於百萬,52.007972
13.0,13.86154644,1.778025776,十萬到百萬,45.80863
10.0,3.79538686,0.08705152,十萬到百萬,33.775792
12.0,1.98806673,2.637867593,十萬到百萬,43.699488
18.0,8.99121241,0.950586255,一萬到十萬,62.6357
44.0,14.69294557,3.043872289,大於百萬,156.526099
53.0,12.02782682,0.297664101,大於百萬,184.10059
56.0,25.10714076,7.154155755,十萬到百萬,201.363858
92.0,31.4612923,1.744870623,一萬到十萬,330.01476
85.0,19.84397609,1.989410201,小於一萬,302.865074
48.0,17.88145952,0.076059762,大於百萬,169.227803
23.0,15.98558312,6.713201271,大於百萬,82.14574
35.0,15.07233814,0.928096772,大於百萬,123.565291
25.0,9.90584265,1.853224897,一萬到十萬,89.819923
22.0,6.04172579,2.136632357,十萬到百萬,77.417318
70.0,17.06761498,3.299867282,大於百萬,248.668284
28.0,18.92451704,1.884703111,十萬到百萬,103.62063
66.0,18.14144822,6.39581212,大於百萬,240.291404
83.0,27.92371868,8.566793342,大於百萬,295.50555
81.0,28.10521,5.05968854,一萬到十萬,282.769281
81.0,29.25634134,6.17428655,十萬到百萬,290.4389
45.0,22.81931349,4.037226529,一萬到十萬,159.373737
100.0,34.4882046,9.18719983,十萬到百萬,360.400053
58.0,21.36662978,4.869841897,大於百萬,209.91607
14.0,5.19785619,0.413965989,十萬到百萬,50.988482
25.0,15.02863648,1.608618992,小於一萬,88.14693
19.0,4.89441073,0.147196027,大於百萬,69.990707
34.0,8.10035297,4.642785095,小於一萬,122.283885
15.0,7.53123847,2.180049883,小於一萬,52.683097
57.0,18.0141482,1.533416779,小於一萬,202.387061
73.0,15.9583118,3.916944379,小於一萬,259.254776
43.0,19.40467358,1.227667435,小於一萬,148.178557
30.0,5.92710903,3.881455379,十萬到百萬,104.583277
63.0,18.66286971,2.145018859,小於一萬,225.850897
66.0,16.3660306,1.939179561,大於百萬,235.066985
53.0,17.04016276,3.156623295,大於百萬,190.459604
10.0,8.83007773,4.003304387,一萬到十萬,36.807308
42.0,15.83243453,2.941996909,小於一萬,147.475216
23.0,2.20175245,0.376547887,小於一萬,80.454435
52.0,13.71733271,1.558106711,小於一萬,186.068115
79.0,26.65916629,5.058853639,十萬到百萬,286.074521
15.0,11.65346233,0.4192589,小於一萬,57.627218
18.0,24.48425958,5.258960389,大於百萬,64.917134
14.0,0.93634906,0.389304514,十萬到百萬,47.042183
68.0,21.63920124,3.223647705,一萬到十萬,242.824881
21.0,5.93555733,0.186156177,大於百萬,70.996406
93.0,24.93237267,1.253028505,大於百萬,329.147808
96.0,36.97046742,7.525472375,大於百萬,345.115298
14.0,2.35935409,1.141379612,一萬到十萬,50.497897
39.0,16.97491196,5.187082923,一萬到十萬,144.82298
81.0,22.06361159,2.2942489,一萬到十萬,290.407403
34.0,5.78191127,2.625228759,十萬到百萬,123.685491
84.0,22.32668218,0.165284697,一萬到十萬,297.071066
76.0,30.7022579,6.693904146,一萬到十萬,267.52199
10.0,0.57324404,1.072542455,一萬到十萬,33.719607
34.0,11.56340328,1.727947024,小於一萬,121.94957
27.0,14.94411052,1.452690809,小於一萬,98.652622
28.0,7.19105373,0.032587652,小於一萬,98.73333
64.0,22.85140519,0.667171404,一萬到十萬,221.544489
23.0,4.0379142,2.876505548,一萬到十萬,78.651462
25.0,3.89442161,1.756190542,一萬到十萬,87.352486
11.0,2.61110051,0.010188713,一萬到十萬,37.722684
25.0,6.28960484,1.761397829,小於一萬,89.58971
51.0,19.80563998,1.57626412,大於百萬,179.236414
44.0,15.72633981,5.470316628,十萬到百萬,159.630944
27.0,5.4412243,1.129230695,一萬到十萬,98.454409
57.0,17.89151781,4.776428455,一萬到十萬,203.573233
50.0,19.57574792,0.47773224,一萬到十萬,176.890959
15.0,3.36764677,0.817346265,一萬到十萬,52.829001
60.0,22.04149759,4.153907425,小於一萬,213.851917
34.0,9.9976534,3.082762553,一萬到十萬,119.127031
75.0,22.71907633,3.566563314,一萬到十萬,265.79489
84.0,27.81758246,6.171058415,一萬到十萬,298.322477
62.0,24.34518879,5.151483172,小於一萬,224.961019
66.0,24.83128365,7.701144623,十萬到百萬,237.953122
90.0,25.32989622,4.301506554,小於一萬,318.959233
59.0,24.11862064,4.750725408,一萬到十萬,213.912535
79.0,31.42973368,3.255131985,十萬到百萬,280.610466
40.0,19.53033704,2.761218278,一萬到十萬,140.732772
62.0,26.56556136,2.245302708,十萬到百萬,216.251881
87.0,26.92871169,0.550205659,大於百萬,306.988465
18.0,0.54477476,0.584802079,一萬到十萬,61.928422
29.0,14.64521424,3.724788505,大於百萬,101.120901
23.0,17.77730935,3.588287267,小於一萬,79.418895
100.0,34.77145023,6.553819539,一萬到十萬,356.533252
10.0,3.49364546,0.455395626,小於一萬,32.825508
30.0,9.25370054,1.377505526,一萬到十萬,106.92085
99.0,37.95497728,3.772530977,小於一萬,348.641708
59.0,8.85613509,3.232468215,小於一萬,214.291665
16.0,8.80161885,1.652085483,十萬到百萬,58.159061
100.0,43.76069372,6.420970623,小於一萬,350.087078
97.0,27.51449463,5.63036929,十萬到百萬,347.76602
33.0,10.39803735,1.31512554,大於百萬,117.751643
75.0,27.69457686,6.330322063,十萬到百萬,264.950387
86.0,22.55656827,3.67613635,十萬到百萬,303.716643
59.0,13.95053433,0.174759871,一萬到十萬,212.344981
12.0,2.84644682,2.467488906,一萬到十萬,42.436219
90.0,32.32648182,5.609706527,十萬到百萬,322.000238
41.0,8.71524832,0.181466489,小於一萬,144.592087
24.0,2.35388752,1.093828271,小於一萬,81.699578
96.0,36.13679466,8.724352447,小於一萬,340.797982
78.0,30.78263387,4.327262063,小於一萬,273.611312
80.0,29.34018613,7.067678233,小於一萬,284.26035
48.0,6.59121321,0.763794602,大於百萬,168.075051
83.0,33.05370376,9.502273995,大於百萬,291.881619
70.0,24.90507404,2.458070702,一萬到十萬,249.410697
69.0,19.9094031,0.248115763,一萬到十萬,242.253505
16.0,12.25135762,1.463118167,十萬到百萬,56.815337
30.0,10.55302912,0.818136405,大於百萬,105.299269
16.0,8.30340947,2.058523812,一萬到十萬,52.878848
84.0,27.30421498,6.617741832,大於百萬,298.991079
54.0,10.86707292,2.932960829,小於一萬,198.52141
70.0,24.30970927,2.404004508,十萬到百萬,249.196759
22.0,6.38704715,1.980000334,十萬到百萬,81.221018
99.0,30.02345521,4.263135192,小於一萬,352.445035
45.0,17.94359103,0.169790571,大於百萬,158.764739
77.0,29.79930364,4.062496317,十萬到百萬,273.202171
63.0,21.40157977,2.332838624,小於一萬,221.285
94.0,28.42763576,4.239315357,一萬到十萬,326.269413
71.0,20.84941338,2.469887527,十萬到百萬,253.462259
23.0,13.31099098,0.731708591,小於一萬,76.321364
52.0,19.76318411,1.198692648,一萬到十萬,187.866618
66.0,24.52006676,7.789470963,大於百萬,235.622502
