面積,周長,長軸長度,短軸長度,偏心率,凸殼面積,延伸比率,米種類
14205,487.351013,204.3322449,89.6342545,0.89864862,14637,0.77369279,1
14321,494.345001,211.6689911,86.8254166,0.911998153,14583,0.56127769,1
11386,450.119995,195.460434,75.8428879,0.921650231,11612,0.51285976,1
12310,438.161987,177.7984314,89.2260284,0.864961565,12528,0.78587842,2
10360,408.281006,165.7329254,81.2866364,0.871459424,10649,0.78526491,2
12736,447.869995,182.7711792,89.6817093,0.871341288,12964,0.75271869,1
12712,453.079987,192.8154602,84.6075363,0.898584485,12891,0.56876957,2
13569,490.541992,209.8494873,83.4063568,0.917620361,14061,0.53003907,1
10148,408.227997,168.7253571,77.1433258,0.889357567,10409,0.58325189,2
14172,500.428986,218.5715637,83.3639069,0.924408734,14399,0.60881519,1
14064,488.947998,206.9332886,87.4786224,0.906251788,14315,0.75857604,1
12465,451.515015,190.4549408,84.1636963,0.897060037,12640,0.59595525,2
9630,396.893005,163.8465424,75.775734,0.88662976,9935,0.72515058,2
16436,529.862976,230.9310455,91.0651856,0.918964922,16648,0.63410497,1
12563,444.868988,183.2237549,88.0494766,0.876963437,12767,0.76697195,2
11318,427.756012,175.5746613,83.8806305,0.878496349,11628,0.58947915,2
13693,479.479004,200.3972931,88.1744614,0.897998631,14097,0.6952526,1
14551,502.112,208.1924438,90.8480148,0.899769425,14962,0.55802268,1
11546,429.681,179.2159576,82.6570129,0.88728863,11698,0.59957421,2
11518,428.709992,175.9360809,84.2515564,0.8778826,11754,0.66039789,2
11672,435.713989,179.9275513,83.9766312,0.884402633,11941,0.65776277,2
13779,481.976013,200.4785767,88.8467102,0.896436095,14192,0.57198006,1
12434,450.496002,176.9101257,91.678093,0.855248272,12847,0.61239165,2
15360,504.231995,210.3907471,94.7409592,0.892872512,15751,0.75765794,1
12714,461.890015,196.560318,83.1123962,0.906207144,12900,0.64140856,1
13623,493.567993,211.730484,82.9239349,0.920114875,14065,0.52655381,1
13470,471.187988,200.5023499,86.7831955,0.901476145,13729,0.58210891,1
12091,436.278015,180.9275513,85.8790588,0.880169272,12303,0.62065601,2
10796,413.420013,170.7816467,80.9968872,0.880378544,10980,0.62303788,1
17313,531.984009,225.5345917,98.4435043,0.899709284,17582,0.5698815,1
10767,428.35199,181.7823029,75.8960648,0.908671975,11002,0.69915587,2
12571,453.337006,188.7025452,86.5485535,0.888616621,12847,0.79182416,2
15522,507.242004,213.6819305,94.901535,0.895964742,15782,0.77890408,1
13089,458.076996,182.1092072,92.589798,0.861103296,13562,0.71290851,2
15644,501.114014,210.3576202,95.2769852,0.891546786,15858,0.78791237,1
14410,477.661987,197.1763763,93.6603394,0.879981518,14645,0.65727055,1
11352,422.324005,171.0198059,85.8147125,0.86499393,11581,0.78571427,2
11042,411.622986,168.3597412,84.190033,0.86599052,11217,0.7918818,2
10531,415.105988,171.4884491,78.9014511,0.887868285,10796,0.60125607,2
11392,427.744995,174.0228729,84.5270767,0.874112248,11609,0.60256004,2
12777,462.669006,183.2349091,90.6945724,0.868913829,13148,0.57244623,2
12535,442.937988,185.8367004,86.9127197,0.883896112,12669,0.60171848,2
15613,509.760986,210.2780762,96.0243301,0.889644384,15975,0.57259691,1
10829,404.751007,160.1178894,87.5086212,0.837441981,11138,0.72145236,2
14972,501.865997,208.8384247,92.8932114,0.895625472,15476,0.7270785,1
15147,511.294006,216.0992889,90.9463882,0.907128096,15637,0.53485167,1
9967,400.218994,167.2388763,76.963234,0.887815595,10128,0.66464388,2
12683,448.636993,186.1575623,87.5585938,0.882481694,12847,0.59095144,2
12373,438.881012,175.827301,90.9123154,0.855952382,12622,0.7681753,2
9050,379.898987,152.8709259,77.1093445,0.863465369,9387,0.67486948,2
10959,447.233002,197.3584137,71.0609818,0.93292892,11133,0.49741286,1
10536,397.498993,160.9679108,83.6986847,0.854183793,10711,0.67538464,2
13024,459.770996,191.9049988,88.0344467,0.888570666,13325,0.77969348,1
10190,397.786011,161.4774323,81.7153244,0.862505376,10476,0.78626543,2
12959,455.266998,181.2097931,92.4475937,0.860074282,13375,0.62219131,2
11523,441.403015,183.0505981,81.2724609,0.896032214,11815,0.78281248,2
12324,449.152008,190.3924866,83.2051392,0.899452269,12595,0.76713353,1
12927,453.015015,184.3237915,89.8613052,0.8731125,13196,0.73691714,1
12831,452.720001,184.246521,89.2625732,0.874805868,13073,0.61123288,2
11074,426.524994,182.8318939,77.6991425,0.905204654,11291,0.74482107,2
10773,407.846985,167.3578491,82.6438217,0.869566977,10931,0.62531924,2
14414,476.321014,194.8597565,94.9859467,0.873146415,14664,0.66387254,2
13734,487.839996,213.2474365,83.1827698,0.920782506,13941,0.80522984,1
9519,402.218994,173.3811798,70.5107193,0.913570523,9682,0.75100589,2
11746,450.82901,194.190918,77.7438965,0.916363299,11953,0.55520892,1
14980,503.816986,214.1865082,89.894577,0.907661796,15361,0.73539519,1
11049,412.813995,169.6197357,83.3963623,0.870783508,11244,0.79238385,2
14504,502.506988,212.2475739,87.9321289,0.910144746,14895,0.55341882,1
17246,540.541992,225.9888611,98.5731506,0.899856567,17704,0.57392925,1
10463,417.356995,177.1761169,76.0458374,0.903204501,10681,0.58322185,2
11359,441.365997,185.1977081,78.9822311,0.904499233,11755,0.58072597,1
15764,513.843994,212.1650696,95.9599075,0.891871452,16258,0.60470289,1
11297,418.953003,172.9674225,84.433464,0.872761667,11482,0.62293905,2
14852,495.816986,205.7136383,92.9477539,0.892103672,15202,0.60129553,1
10144,403.643005,165.4689026,79.1758423,0.878090918,10399,0.65930069,2
14871,487.618012,204.1911011,93.7997665,0.888243735,15067,0.76308495,1
13677,467.247986,191.011795,91.8209915,0.876880467,13901,0.65502876,2
12418,453.04599,187.8212128,85.1721878,0.891269088,12719,0.77997613,2
10106,408.941986,167.7952576,78.3033676,0.884436727,10424,0.78123069,2
13764,479.479004,199.2956848,89.9937058,0.892241418,14167,0.77714413,1
15907,527.210999,224.2521973,91.4411392,0.913089037,16206,0.54766738,1
12024,436.526001,182.3500977,84.8827515,0.88505137,12235,0.62664163,2
11486,420.852997,175.2575073,83.8640823,0.87807709,11615,0.77650082,2
13789,494.380005,216.9155121,82.1564484,0.925499618,14109,0.53274351,1
13858,475.957001,205.8739014,86.0445862,0.908470929,14042,0.65122181,1
9962,408.721008,165.8337708,78.493866,0.880885899,10231,0.61868089,2
12931,460.535004,192.90802,86.5666504,0.893659472,13302,0.60706073,1
16005,518.893005,221.2155304,93.1329575,0.90705806,16343,0.55104148,1
11793,417.160004,163.0438385,93.5010986,0.819225073,12022,0.66171026,2
9428,398.920013,164.8453827,74.6575851,0.891564071,9760,0.67671549,2
13331,461.308991,193.5599365,88.7962341,0.888563752,13500,0.57950789,2
16006,528.176025,222.6719055,93.0961304,0.908407211,16466,0.61185014,1
11512,414.600006,166.6441956,88.6269074,0.846849144,11700,0.77054888,2
11545,427.619995,167.4120941,89.4489212,0.845292509,11925,0.63239485,2
14034,491.731995,205.5051117,88.3520584,0.902863979,14448,0.55591208,1
14390,497.919006,216.3755951,85.1957016,0.919221938,14586,0.53790373,1
11355,428.992004,172.2812653,85.3694916,0.868594289,11690,0.61424863,2
12095,444.033997,186.0676727,83.8088074,0.892816246,12290,0.69994211,2
15224,510.881988,213.196167,92.32341,0.901372612,15686,0.63952953,1
10975,412.738007,169.450119,83.2436142,0.871014476,11149,0.78707689,2
7833,373.157013,162.5164337,63.5650024,0.920335591,8015,0.76975238,2
16176,522.991028,221.9273987,93.9841843,0.905900478,16639,0.60234594,1
9571,388.59201,160.9365845,76.4387741,0.880006254,9720,0.63742924,2
12602,465.916992,194.4551392,84.8320084,0.899823129,13039,0.650258,1
10222,423.497009,182.8002472,72.1242981,0.91887337,10421,0.82038522,2
10889,409.016998,165.9194641,84.8523483,0.85933876,11123,0.80480415,2
16893,523.254028,216.2404938,100.408165,0.885659337,17293,0.68105948,1
13342,488.269989,208.6655121,83.1663513,0.917140961,13703,0.52593821,1
11802,430.052002,175.2747498,86.6631699,0.86921072,12024,0.62125599,2
12726,455.346008,188.7777863,86.9399109,0.88763839,13010,0.76847827,2
11940,443.967987,187.3336182,82.182785,0.898634791,12184,0.63639271,1
9577,403.17099,174.9822083,70.2676315,0.915828288,9769,0.62709534,2
17353,539.033997,220.9611969,101.4541016,0.888359308,17845,0.63030767,1
12809,455.144012,189.0794678,87.2080307,0.887283623,13025,0.59000462,1
12075,430.471008,176.1828156,88.514061,0.864635944,12248,0.80232561,2
12220,425.04599,170.3327026,91.9388657,0.841818631,12385,0.72171038,2
11626,433.238007,178.0792389,84.5631256,0.880060077,11972,0.58967334,2
11706,433.065002,181.553894,82.6478119,0.890376627,11928,0.5867669,2
13138,470.415008,203.8628235,82.9842148,0.913401842,13361,0.81098765,1
18313,538.497986,222.4642487,106.1847458,0.878734171,18724,0.62442034,1
12974,460.303986,192.9310455,86.7241364,0.893276095,13232,0.59593034,2
12148,434.307007,177.4776917,88.5175018,0.86674422,12437,0.75505006,2
10386,405.967987,165.6750488,81.030014,0.872233272,10684,0.63624114,2
13487,477.253998,205.0457153,84.2822647,0.911616743,13772,0.7373572,1
12454,437.494995,175.8217468,91.2292023,0.854851186,12655,0.63224691,2
11536,426.85199,172.1890717,87.0799255,0.862696052,11891,0.60588235,2
8628,372.334015,157.3330383,70.1250229,0.895177007,8782,0.60264021,2
12581,439.154999,171.1239014,95.3803101,0.830260396,12858,0.69573635,2
15600,502.842987,205.2755127,99.0528107,0.875876188,16130,0.72142065,1
13860,484.772003,200.7766266,88.8408279,0.896775484,14238,0.66088116,1
10231,404.364014,159.639267,82.9938278,0.854237139,10640,0.62998766,2
14520,496.020996,208.425705,90.7463913,0.90024209,14930,0.59096462,1
12031,446.98999,178.5896454,88.8414917,0.867486,12425,0.58045059,2
14305,490.182007,206.8847198,88.6757965,0.903482914,14695,0.65418208,1
12676,437.955994,178.2371063,91.6977539,0.857508004,12887,0.69124222,2
12647,451.056,180.3443451,91.4280853,0.861967266,13120,0.65859503,2
15350,498.178986,204.6212006,96.8934021,0.880779982,15751,0.66369766,1
13418,474.901001,194.5457001,89.7083054,0.887339413,13973,0.60430551,1
8992,377.332001,158.2789154,73.0554504,0.887108207,9105,0.5945124,2
14873,499.615997,210.2774963,91.5836182,0.900170863,15195,0.57303023,1
12482,448.539002,185.0900421,87.2516098,0.881919026,12744,0.59268755,2
11339,425.506012,177.0471344,82.5474091,0.884655416,11533,0.59205306,2
13147,468.920013,199.2277527,84.4808044,0.905642807,13431,0.68473959,1
15543,507.38501,211.6512146,94.5713959,0.894620597,15976,0.65293008,1
10833,427.683991,177.2799072,79.5366898,0.893707395,11158,0.76310229,2
10589,411.928986,170.2721252,80.86866,0.880019367,10850,0.72428179,2
14143,481.907989,199.9907227,91.0935593,0.890241444,14450,0.58422834,1
12086,438.502991,179.4166412,86.549469,0.875954509,12292,0.62947917,2
14439,492.553009,211.8521423,87.4346695,0.910859942,14614,0.57279438,1
15714,501.154999,205.0133057,99.2755432,0.874935448,16074,0.73388755,1
11515,425.498993,177.8352051,83.0262375,0.884325027,11672,0.80773008,2
16580,530.094971,226.4449463,94.4740753,0.908812165,16928,0.59618843,1
11859,421.812988,169.9307861,89.3818054,0.850491047,12056,0.70146692,2
15158,505.276001,209.4760284,93.9268265,0.893838346,15586,0.60936683,1
11703,422.053009,166.0104065,91.1249542,0.835880697,12023,0.65376234,2
13468,475.39801,199.7535858,87.0446701,0.900062799,13817,0.57007408,1
14534,483.640991,196.6508179,95.0506821,0.875428557,14932,0.64965135,1
14806,498.631988,214.3899384,88.9766235,0.909811199,15078,0.78338623,1
13196,474.988007,199.981308,85.658165,0.903621972,13463,0.55646455,1
12407,460.178986,187.7365875,85.8654175,0.88927561,12849,0.58246094,2
13347,461.872009,193.527359,88.6871033,0.888814807,13536,0.77702743,2
14041,491.661011,212.8569336,84.5673065,0.917690337,14289,0.78661066,1
11240,438.513,186.4797363,77.602562,0.90929842,11492,0.56522179,2
11077,427.664002,181.1168671,78.3497849,0.901589572,11275,0.55523807,2
13102,479.27301,202.5076752,83.7562332,0.91046083,13528,0.61798972,1
12234,440.0,178.6965332,88.4473038,0.86891681,12435,0.62412,2
14360,494.457001,205.0970001,90.1169968,0.898297787,14825,0.65750915,1
13952,484.946991,201.3228302,89.510376,0.895723701,14349,0.65641028,1
13314,474.087006,203.9480133,83.6628418,0.911988139,13627,0.74713802,1
12745,453.035004,187.0058441,87.6672897,0.883307338,13040,0.60517567,1
12624,452.731995,192.1109619,84.6123734,0.897784531,12791,0.5655914,2
11146,425.959992,179.801178,79.5625534,0.89676702,11302,0.5810656,2
14655,491.714996,200.1468964,94.7804642,0.880764484,15181,0.60091031,1
17442,539.776001,228.5934753,98.1920471,0.903043628,17698,0.57625216,1
11732,428.183014,172.9629669,86.9869003,0.864331722,11900,0.63109201,2
13567,473.575012,195.3531189,89.2370758,0.889570057,14020,0.64678681,1
13283,477.289002,198.2706604,86.3554535,0.900167763,13616,0.61113411,1
14126,498.424988,216.8854828,83.8103867,0.922320008,14410,0.76077122,1
12743,435.817993,176.1109924,92.4771118,0.851036191,12897,0.63209325,2
11511,438.972992,182.5943756,81.3591843,0.895245492,11806,0.65690803,2
9878,406.977997,169.3667145,74.9775925,0.896672845,10098,0.58133239,2
11044,420.218994,165.992218,87.1315155,0.851155698,11328,0.61294264,2
13704,472.061005,191.9680939,92.8804398,0.875160515,14102,0.74742293,2
9646,390.955994,162.0136719,76.3164215,0.8821069,9815,0.67511201,2
12045,452.308991,193.5135193,80.2776184,0.909893274,12368,0.55242157,1
12914,464.179993,182.7015533,91.9550934,0.864107251,13385,0.64351207,2
9759,391.484009,159.0281372,79.1779785,0.867242157,9999,0.73210806,2
10828,410.069,166.3771362,84.0965958,0.862851441,11093,0.72852051,2
14261,496.359009,208.8519745,88.2422104,0.906357884,14763,0.69565856,1
14434,477.618988,200.3898773,92.3815536,0.887395442,14660,0.78343463,1
11385,419.01001,163.7038727,89.7325897,0.8363868,11767,0.6401822,2
10156,409.290008,177.7449951,73.2296295,0.911187172,10327,0.75179511,2
12711,459.618012,192.9746246,84.9510803,0.897890449,13028,0.58195221,1
11288,429.647003,173.5355835,84.2954712,0.874095976,11665,0.59310633,2
10150,405.355988,169.0958252,76.9323349,0.89051038,10358,0.63604462,2
11569,433.013,183.7203064,80.480423,0.898945987,11734,0.61037248,2
10695,406.450989,164.5702972,84.045639,0.859760463,10930,0.61233252,2
12450,456.221008,191.142868,84.213417,0.897714138,12740,0.57215071,1
12615,458.234985,185.0419617,88.1856537,0.879135907,13014,0.62167358,2
11502,425.955994,173.2731934,85.456192,0.869922996,11776,0.63758314,2
14181,485.244995,206.8582764,87.9433441,0.905128479,14423,0.64783007,1
14965,483.507996,203.5234528,94.3112488,0.886153102,15151,0.77554935,1
16022,524.872986,221.5270538,93.6352844,0.906278491,16545,0.54223639,1
8328,369.738007,152.5658569,70.5686035,0.886595726,8579,0.58442104,2
9843,383.115997,154.9503174,81.3568344,0.851070702,10024,0.70226884,2
12593,463.368988,195.7576294,83.0796661,0.905474484,12907,0.69775045,1
10193,409.795013,174.1696167,75.0309067,0.902451158,10377,0.75643784,2
13414,480.287994,199.4829102,86.8428574,0.90026623,13933,0.55505443,1
15154,504.929993,211.2330933,92.5081024,0.899002671,15598,0.57506073,1
10819,413.256988,165.1613922,84.5716171,0.858952999,11091,0.60952115,2
10228,403.890991,164.9504242,79.7054672,0.875505269,10475,0.64976811,2
13003,478.587006,197.8812103,85.5315933,0.901759982,13402,0.58885068,2
11363,419.454987,170.0657501,86.5056686,0.860967398,11699,0.69430524,2
14407,482.79599,202.8323364,91.191925,0.893233716,14671,0.74262887,1
14850,500.298004,213.0778961,89.3513031,0.907830954,15124,0.58021408,1
9483,390.997986,157.2599182,78.6333313,0.86601305,9817,0.6578564,2
11363,423.265991,175.8741608,83.8426285,0.8790555,11548,0.79135036,2
16454,518.109009,217.098526,97.780693,0.892827988,16893,0.79718995,1
11510,433.514008,180.3823242,82.6219559,0.888932645,11827,0.76702654,1
15153,514.403992,218.0923157,90.0522919,0.910772264,15628,0.68085009,1
10474,403.459992,167.8843994,80.188591,0.878554702,10611,0.78870481,2
12209,445.889008,184.8757324,85.0214081,0.887978971,12418,0.6173957,2
9431,383.959015,159.6559448,75.795723,0.880123854,9556,0.77557564,2
15926,522.73999,225.7360535,91.0570908,0.915033162,16240,0.77976888,1
15042,502.213989,212.0943756,91.2926941,0.902621925,15416,0.70210975,1
13980,479.179993,206.3290405,87.0367203,0.906672835,14137,0.86104953,1
14045,482.742004,200.0272369,90.7138443,0.891252458,14305,0.57261092,1
11227,427.811005,179.5554352,80.3201828,0.89436996,11430,0.59270406,2
11353,431.479004,182.0024109,80.0629578,0.898046494,11579,0.71663934,1
11458,437.44101,178.6035919,83.9828491,0.882549644,11732,0.76203775,2
10632,405.415985,167.325943,81.3442841,0.873879433,10762,0.62317568,2
10908,414.997009,174.4491577,80.5641861,0.886973441,11062,0.75498337,2
14898,501.494995,215.5633392,88.7705994,0.911270857,15156,0.65850425,1
14768,499.877014,210.5588074,90.4741821,0.902978361,15158,0.58311617,1
13949,479.402008,200.0951385,90.0946884,0.892897844,14286,0.58154756,1
12405,437.085998,178.0936584,89.9607696,0.863042235,12615,0.8101489,2
12536,460.283997,195.9936981,82.3151474,0.907529294,12778,0.64805627,2
11508,429.20401,178.3140106,83.0227814,0.884995937,11772,0.78843516,2
12260,453.238007,190.8468628,83.0307083,0.900399268,12586,0.78832304,2
11467,448.683014,192.0872345,77.1697235,0.915752411,11739,0.56978881,2
10638,407.207001,168.552124,81.1884918,0.876346171,10834,0.67581475,2
12406,449.713989,188.5073853,84.5176544,0.893857121,12602,0.79832691,2
10882,411.746002,168.9594727,83.1814728,0.870416462,11033,0.75401884,2
14851,512.31897,218.0083618,88.4966659,0.913903058,15556,0.71775168,1
10763,416.016998,171.0617828,80.6674194,0.881829202,10951,0.59503537,2
11907,448.061005,188.3023987,82.2617645,0.899529576,12156,0.76131713,2
10359,409.510986,173.3379669,76.8758087,0.896273136,10510,0.57358801,2
11119,419.727997,174.0810699,82.1559067,0.881630421,11314,0.76958746,2
12432,446.488007,183.4152832,87.7301025,0.878188848,12677,0.58730161,2
11241,417.158997,169.2477875,85.458786,0.863158584,11390,0.62869126,2
11236,421.444,171.7626495,84.2889938,0.871312022,11440,0.60830492,2
11253,422.877991,173.4837341,84.1268082,0.874555051,11556,0.7520048,2
12974,460.416992,191.3257751,87.2857056,0.889869571,13310,0.67721057,1
11719,436.424988,180.1156921,83.8712006,0.884967983,11922,0.68332362,2
11559,427.029999,173.2377777,87.1889725,0.864117086,11840,0.69914716,2
11780,435.67099,181.6983185,83.5851212,0.887907803,11975,0.8079561,2
11638,451.009003,195.0361328,76.9290314,0.918923914,11843,0.54059827,1
12637,455.290985,187.8065033,86.8458404,0.886660039,12958,0.61734247,2
11422,419.907013,168.0318909,88.2907028,0.850830555,11687,0.61807358,2
10680,413.803009,171.882019,79.8655624,0.885492623,10848,0.59077334,2
15815,504.223999,214.6546936,94.9879837,0.896760941,16059,0.80977982,1
12023,442.334992,181.1767426,85.4149628,0.881895185,12282,0.6013003,2
13325,468.350006,188.9027405,90.8317108,0.87680918,13643,0.61264366,2
15742,499.981995,209.3941956,96.4591141,0.887577713,15950,0.75660866,1
16401,521.077026,213.1025696,99.541893,0.884200335,16781,0.72660822,1
11210,428.891998,181.8733215,79.4114075,0.899641037,11456,0.63172722,2
12079,445.994995,190.6735992,81.1332474,0.904954433,12462,0.64267093,1
13524,487.468994,208.1534271,83.6142654,0.915773332,13830,0.63792455,1
11087,432.382996,177.4989777,80.5441971,0.891117454,11380,0.59463662,2
11773,433.980988,174.7171631,87.2726974,0.866309047,12005,0.60946316,2
14601,505.248993,215.9343872,86.7587204,0.915735006,14991,0.66854394,1
10964,412.821991,168.77948,83.7662201,0.86814785,11118,0.74605334,2
13858,490.570007,203.7094727,88.1739273,0.901470006,14265,0.65318626,1
10550,404.295013,160.4701233,85.4500351,0.846431196,10846,0.77980632,2
16091,508.830994,209.1838837,99.2317581,0.880322516,16431,0.67045832,1
13109,457.170013,195.0704193,86.0075073,0.897553802,13271,0.59926856,2
11993,427.539002,168.4983673,91.9594803,0.837942243,12286,0.63928574,2
8990,389.377014,157.7496033,73.9191818,0.883418143,9297,0.62526083,2
14658,486.178986,201.8865356,93.2077713,0.887044489,14892,0.64829719,1
15762,507.640991,205.6005554,99.3208466,0.875578046,16261,0.66363519,1
11753,425.385986,176.0082092,85.7570419,0.873271942,11919,0.65556669,2
12605,448.846008,186.7164459,86.6711807,0.885737717,12804,0.72596902,2
10949,414.273987,168.0638885,84.0328369,0.866022348,11192,0.61580426,2
